INFO 06/11/2020 20:21:31  luanchFromDiffVersion, pre version is undefined
INFO 08/11/2020 13:59:16  [focus] 2
INFO 08/11/2020 13:59:33  [blur] 2
INFO 08/11/2020 14:45:37  [focus] 2
INFO 08/11/2020 14:45:39  [blur] 2
INFO 08/11/2020 14:45:39  [focus] 2
INFO 08/11/2020 14:45:41  [blur] 2
INFO 08/11/2020 14:46:01  [focus] 2
INFO 08/11/2020 14:46:05  [focus] 1
INFO 08/11/2020 14:46:06  ----------------before-quit-----------------
INFO 08/11/2020 14:46:06  ------------------will-quit------------------
INFO 08/11/2020 16:28:45  ------------------start------------------
INFO 08/11/2020 16:28:45  typora version: 0.9.96
DEBUG 08/11/2020 16:28:45  [ '/home/glaulher/Typora-linux-x64/Typora' ]
INFO 08/11/2020 16:28:45  [Raven] instanceKey = 6544f800-bc68-4929-8347-6d57e228c4b9
DEBUG 08/11/2020 16:28:45  app.openFile
INFO 08/11/2020 16:28:46  [Raven] userId = e14f096c-b0a6-4de2-8256-4fd7513abe13
INFO 08/11/2020 16:28:46  [focus] 1
INFO 08/11/2020 16:28:48  [blur] 1
INFO 08/11/2020 16:28:49  [focus] 1
INFO 08/11/2020 16:28:58  [blur] 1
INFO 08/11/2020 16:29:02  [focus] 1
INFO 08/11/2020 16:29:02  [blur] 1
INFO 08/11/2020 16:29:02  [focus] 1
INFO 08/11/2020 16:29:02  [blur] 1
INFO 08/11/2020 16:29:02  [focus] 1
DEBUG 08/11/2020 16:29:02  true
INFO 08/11/2020 16:29:02  addRecentFolder
INFO 08/11/2020 16:29:27  [blur] 1
INFO 08/11/2020 16:29:39  [focus] 1
INFO 08/11/2020 16:29:39  [blur] 1
INFO 08/11/2020 16:29:40  [focus] 1
INFO 08/11/2020 16:29:57  [blur] 1
INFO 08/11/2020 16:29:58  [focus] 1
INFO 08/11/2020 16:30:10  switchDocument
INFO 08/11/2020 16:30:10  addRecentDocument
INFO 08/11/2020 16:30:25  addRecentDocument
INFO 08/11/2020 16:30:40  [blur] 1
INFO 08/11/2020 16:30:53  [focus] 1
INFO 08/11/2020 16:30:54  [blur] 1
INFO 08/11/2020 16:31:00  [focus] 1
INFO 08/11/2020 16:31:19  [blur] 1
INFO 08/11/2020 16:31:21  [focus] 1
INFO 08/11/2020 16:32:23  [blur] 1
INFO 08/11/2020 16:32:30  [focus] 1
INFO 08/11/2020 16:33:26  [blur] 1
INFO 08/11/2020 16:33:27  [focus] 1
INFO 08/11/2020 16:33:54  [blur] 1
INFO 08/11/2020 16:33:55  [focus] 1
INFO 08/11/2020 16:33:56  [blur] 1
INFO 08/11/2020 16:34:02  [focus] 1
INFO 08/11/2020 16:35:06  [blur] 1
INFO 08/11/2020 16:35:10  [focus] 1
INFO 08/11/2020 16:35:56  [blur] 1
INFO 08/11/2020 16:36:28  [focus] 1
INFO 08/11/2020 16:36:38  [blur] 1
INFO 08/11/2020 16:36:51  [focus] 1
INFO 08/11/2020 16:37:07  [blur] 1
INFO 08/11/2020 16:37:11  [focus] 1
INFO 08/11/2020 16:37:12  [blur] 1
INFO 08/11/2020 16:37:37  [focus] 1
INFO 08/11/2020 16:41:30  [blur] 1
INFO 08/11/2020 16:41:49  [focus] 1
INFO 08/11/2020 16:42:43  [blur] 1
INFO 08/11/2020 16:43:59  [focus] 1
INFO 08/11/2020 16:45:37  [blur] 1
INFO 08/11/2020 16:47:01  [focus] 1
INFO 08/11/2020 16:47:41  [blur] 1
INFO 08/11/2020 16:47:54  [focus] 1
INFO 08/11/2020 16:48:10  [blur] 1
INFO 08/11/2020 16:50:09  [focus] 1
INFO 08/11/2020 16:51:40  [blur] 1
INFO 08/11/2020 16:59:06  [focus] 1
INFO 08/11/2020 16:59:11  [blur] 1
INFO 08/11/2020 17:18:22  [focus] 1
INFO 08/11/2020 17:18:34  ----------------before-quit-----------------
INFO 08/11/2020 17:18:34  ------------------will-quit------------------
INFO 11/11/2020 21:13:16  ------------------start------------------
INFO 11/11/2020 21:13:16  typora version: 0.9.96
DEBUG 11/11/2020 21:13:17  [
  '/home/glaulher/Typora-linux-x64/Typora',
  '/home/glaulher/Documentos/javascript/planilha/sheetjs/demos/README.md'
]
DEBUG 11/11/2020 21:13:17  app.openFile
INFO 11/11/2020 21:13:17  addRecentDocument
INFO 11/11/2020 21:13:18  [Raven] instanceKey = bb5d8522-abb1-4bf3-96a6-86477572af5d
INFO 11/11/2020 21:13:18  [Raven] userId = e14f096c-b0a6-4de2-8256-4fd7513abe13
INFO 11/11/2020 21:13:18  [focus] 1
INFO 11/11/2020 21:13:26  [blur] 1
INFO 11/11/2020 21:13:26  [focus] 1
INFO 11/11/2020 21:13:59  ----------------before-quit-----------------
INFO 11/11/2020 21:13:59  ------------------will-quit------------------
INFO 12/11/2020 13:40:32  ------------------start------------------
